Number,GivenName,Surname,Gender,StreetAddress,City,StateFull,ZipCode,TelephoneNumber,Age,Company,Latitude,Longitude
2830,Emily,Azevedo,female,"Rua Nossa Senhora das Graças 1050","Juiz de Fora","Minas Gerais",36046-270,"(32) 8867-5236",29,"Madcats Music & Books",-21.695646,-43.432577
2831,Kauê,Ferreira,male,"Travessa A 1446",Candeias,Bahia,43810-190,"(71) 5898-4332",20,"Manning's Cafeterias",-12.70023,-38.445728
2832,Vitór,Sousa,male,"Rua Miranda Leão 972",Manaus,Amazonas,69005-040,"(92) 6338-7036",28,"Eden Lawn Service",-2.618898,-60.146163
2833,Isabelle,Santos,female,"Rua São Benedito 1489","São José do Rio Preto","São Paulo",15035-270,"(17) 4293-6655",23,Fireball,-20.815337,-49.336975
2834,Maria,Rocha,female,"Rua Santo Antônio 713",Fortaleza,Ceará,60535-030,"(85) 7434-3240",22,"Tons O' Toys",-3.738017,-38.485914
2835,Ágatha,Goncalves,female,"Rua Leopoldo Froes 550","Rio Grande","Rio Grande do Sul",96213-200,"(53) 7886-4216",31,"Quality Realty Service",-32.138543,-52.358026
2836,Luiz,Costa,male,"Rua Antônio Damiani 1600",Uberaba,"Minas Gerais",38037-300,"(34) 8560-7852",19,Peaches,-19.470553,-47.889494
2837,Evelyn,Rodrigues,female,"Rua Ruth Mamede Godoy 645",Marília,"São Paulo",17502-272,"(14) 6520-2223",23,"Pearl Architectural Design",-22.135688,-50.00829
2838,Larissa,Rodrigues,female,"Rua Franca 923","Campo Grande","Mato Grosso do Sul",79097-290,"(67) 9248-4874",22,Fretter,-21.060018,-54.267837
2839,Marisa,Oliveira,female,"Rua Val de Palmas 1944","São Paulo","São Paulo",03161-080,"(11) 7521-9948",25,"Pearl Architectural Design",-23.618669,-46.554078
2840,Lara,Oliveira,female,"Rua José Domingos Vicentini 217",Avaré,"São Paulo",18706-183,"(14) 4601-8305",39,"Sun Television and Appliances",-22.962485,-48.953916
2841,Melissa,Pereira,female,"Rua Pedro Leopoldo 1331","São Paulo","São Paulo",08295-080,"(11) 3042-4375",31,"Funtown toys",-23.599467,-46.729603
2842,Lara,Alves,female,"Avenida Ulisses Montarroyos 110","Jaboatão dos Guararapes",Pernambuco,54430-070,"(81) 4790-3610",23,"Chess King",-8.109738,-35.04337
2843,Giovana,Almeida,female,"Rua Onir Schardong 278","São Leopoldo","Rio Grande do Sul",93044-135,"(51) 3803-7359",27,"Newmark & Lewis",-29.783206,-51.068306
2844,Ana,Fernandes,female,"Via de Pedestre Professor Fukutaro Kato 1688","São Paulo","São Paulo",02227-285,"(11) 2387-2165",27,JasmineSola,-23.626435,-46.703077
2845,Igor,Dias,male,"Rua Treze Tilias 1020",Natal,"Rio Grande do Norte",59110-420,"(84) 2422-8569",33,"Asiatic Solutions",-5.90081,-35.226539
2846,Luiza,Castro,female,"Conjunto Residencial 03 1211",Planaltina,"Distrito Federal",73370-003,"(61) 9688-6477",28,"Earl Abel's",-15.694096,-47.689749
2847,Mariana,Dias,female,"Rua Dom Henrique 4",Valinhos,"São Paulo",13277-023,"(19) 9573-9851",41,Ardan's,-22.88538,-46.909469
2848,Lavinia,Silva,female,"Viela Maria Helena Alves da Rosa 1324",Osasco,"São Paulo",06270-245,"(11) 3691-9862",27,AdventureSports!,-23.471491,-46.856692
2849,Vitoria,Barbosa,female,"Rua Doutor Antônio Leivas Leite 1595",Pelotas,"Rio Grande do Sul",96030-030,"(53) 3458-3769",43,"Builders Emporium",-31.448077,-52.285222
2850,Bruna,Souza,female,"Rua José Azacio Diniz 219","São João da Boa Vista","São Paulo",13874-524,"(19) 9927-8172",31,"Polk Brothers",-21.967049,-46.897552
2851,Gabrielly,Carvalho,female,"Rua Doutora Romilda Valentino 1856","São Paulo","São Paulo",01529-040,"(11) 9909-7316",30,"Magna Gases",-23.659043,-46.601602
2852,Emilly,Rocha,female,"Rua Amarante 234","Duque de Caxias","Rio de Janeiro",25240-150,"(21) 9541-7158",34,"Parts and Pieces",-22.562584,-43.392755
2853,Rafaela,Almeida,female,"Travessa Dois Irmãos 1992",Natal,"Rio Grande do Norte",59022-520,"(84) 4478-4682",19,"Creative Wealth Management",-5.878252,-35.275879
2854,Vinicius,Sousa,male,"Rua TC - 008 1474",Brusque,"Santa Catarina",88358-560,"(47) 7786-6205",32,"Thriftway Food Mart",-27.098733,-48.829487
2855,Laura,Goncalves,female,"Rua Desembargador Oscar Dantas 752",Salvador,Bahia,40150-260,"(71) 2062-8250",42,"Sun Television and Appliances",-12.886763,-38.528074
2856,Bianca,Correia,female,"Avenida Monte Celeste 814","São Paulo","São Paulo",02561-000,"(11) 5970-4959",33,AdventureSports!,-23.70883,-46.592092
2857,Enzo,Cavalcanti,male,"Rua Cinco 1336",Valinhos,"São Paulo",13275-050,"(19) 2126-7262",44,"Peter Reeves",-23.00524,-47.038962
2858,Sofia,Rocha,female,"Travessa São José 359","Jaboatão dos Guararapes",Pernambuco,54170-565,"(81) 3656-7030",43,"Dun Rite Lawn Maintenance",-8.179446,-35.048256
2859,Brenda,Silva,female,"Rua Maria Elisabete Herrera 1261",Curitiba,Paraná,81560-760,"(41) 7241-5883",24,Sistemos,-25.456914,-49.195579
2860,Júlia,Cardoso,female,"Rua Alceu Campos Bueno 185",Sertãozinho,"São Paulo",14177-128,"(16) 9793-5085",21,"Gold Medal",-21.185919,-48.114288
2861,Bianca,Souza,female,"Rua São Miguel 403",Manaus,Amazonas,69093-330,"(92) 9614-4256",37,"Little Folk Shops",-2.734337,-60.06624
2862,Luana,Ferreira,female,"Rua Nazim Salim Wehbe 1511","Presidente Prudente","São Paulo",19063-460,"(18) 2403-9077",38,"Carrols Restaurant Group",-21.861046,-51.325153
2863,Gabrielly,Castro,female,"Rua Possidônio Bem 405","Juazeiro do Norte",Ceará,63010-281,"(88) 8272-8984",27,"Gas Legion",-7.105656,-39.20999
2864,Fábio,Ribeiro,male,"Rua Maximiniano de Figueiredo 1385","Rio de Janeiro","Rio de Janeiro",20961-180,"(21) 5061-8457",31,"Super Shops",-22.937005,-43.328774
2865,Emily,Barbosa,female,"Praça Nova Lisboa 843",Fortaleza,Ceará,60341-632,"(85) 9990-9922",38,"Food Giant",-3.678043,-38.577698
2866,Gabrielle,Araujo,female,"Rua José Afonso 147",Itapetininga,"São Paulo",18205-760,"(15) 2530-7465",34,Capitalcorp,-23.655892,-48.138388
2867,Giovana,Pinto,female,"Rua Jovelina 1877","São Paulo","São Paulo",03626-060,"(11) 7509-6206",27,"J. Brannam",-23.714428,-46.623175
2868,Ryan,Rocha,male,"Rua Homero R. Filho 975",Goiânia,Goiás,74484-709,"(62) 7404-3046",22,Monit,-16.601702,-49.260779
2869,Murilo,Cavalcanti,male,"Rua Ministro Macedo Couto 1635","São Paulo","São Paulo",03177-030,"(11) 3424-7013",26,Lum's,-23.717502,-46.563349
2870,Alice,Lima,female,"Rua Três 88","Santa Luzia","Minas Gerais",33042-020,"(31) 7533-6410",29,"The Wiz",-19.692447,-43.881625
2871,Matheus,Martins,male,"1ª Travessa Virgínia Rocha 1038",Camaragibe,Pernambuco,54756-001,"(81) 3731-5487",44,"Sky High Financial Advice",-8.003098,-35.040035
2872,Laura,Rocha,female,"Vila Vera Lúcia 444",Belém,Pará,66023-640,"(91) 4060-5409",24,Martin's,-1.327321,-48.497414
2873,Isabelle,Araujo,female,"Rua Emile Zola 17","Franco da Rocha","São Paulo",07862-020,"(11) 5558-4816",21,"Erb Lumber",-23.348356,-46.63222
2874,Emilly,Correia,female,"Rua Imperatriz Dona Leopoldina 1653",Itaquaquecetuba,"São Paulo",08579-630,"(11) 6585-3214",27,"Reliable Guidance",-23.544405,-46.306867
2875,Tânia,Oliveira,female,"Rua Geraldo Pereira da Silva 1856","Montes Claros","Minas Gerais",39400-520,"(38) 8894-7682",37,"Jay Jacobs",-16.553674,-43.811065
2876,Danilo,Dias,male,"Rua José Miguel Dias 1702",Barbacena,"Minas Gerais",36202-177,"(32) 7372-3496",22,CompuAdd,-21.169103,-43.928785
2877,Julian,Alves,male,"Rua Padre Vieira 402","São Lourenço da Mata",Pernambuco,54710-760,"(81) 6297-6554",22,Anderson-Little,-8.007983,-35.156264
2878,Marisa,Carvalho,female,"Rua Paissandu 1690","Porto Alegre","Rio Grande do Sul",90660-360,"(51) 8709-3010",22,"Steve & Barry's",-30.121636,-51.159571
2879,Gabrielle,Cunha,female,"Praça Doutor Ilídio Favano 1695","São Paulo","São Paulo",03226-057,"(11) 9965-7618",32,Macroserve,-23.545084,-46.696562
2880,Evelyn,Rocha,female,"Rua Alvorada 1023",Paulista,Pernambuco,53431-660,"(81) 6642-5277",44,Zantigo,-7.914614,-34.859038
2881,Nicole,Pinto,female,"Rua Bento de Abreu 598",Santos,"São Paulo",11045-140,"(11) 5067-7743",38,"Lionel Kiddie City",-23.864137,-46.173872
2882,Sophia,Barbosa,female,"Avenida Joaquim Nabuco 687",Arcoverde,Pernambuco,56506-470,"(87) 9157-5538",42,"S&W Cafeteria",-8.417818,-36.978359
2883,Beatrice,Fernandes,female,"Vila Rocinha da Piedade 138",Salvador,Bahia,40070-600,"(71) 2474-8338",31,"Clemens Markets",-12.864979,-38.387376
2884,Luiz,Pereira,male,"Rua das Pedras 1063","São Paulo","São Paulo",02812-010,"(11) 5683-8257",29,"A+ Investments",-23.551347,-46.556101
2885,Leonor,Cardoso,female,"Vila Vitala 975",Fortaleza,Ceará,60832-240,"(85) 4632-2882",24,"Present Company",-3.752632,-38.446641
2886,Felipe,Costa,male,"Rua Virgílio Dias de Castro 1650","São José do Rio Preto","São Paulo",15057-030,"(17) 4027-7753",39,Wetson's,-20.688068,-49.288816
2887,Ana,Pinto,female,"Rua Tocantins 148",Votuporanga,"São Paulo",15505-189,"(17) 9828-3180",44,"Grass Roots Yard Services",-20.465203,-50.077397
2888,Lucas,Ribeiro,male,"Rua Imperatriz 1858","São Luís",Maranhão,65067-320,"(98) 6679-5517",41,"Avant Garde Appraisal",-2.713217,-44.386762
2889,Otávio,Barbosa,male,"Rua Orestes Leme de Souza 279",Tatuí,"São Paulo",18272-507,"(15) 7027-7260",18,"Wherehouse Music",-23.388732,-47.903992
2890,Danilo,Rodrigues,male,"Rua Ministro Ribeiro da Costa 1606","Campos dos Goytacazes","Rio de Janeiro",28051-335,"(22) 4302-6625",22,"Copeland Sports",-21.635238,-41.443096
2891,Joao,Gomes,male,"Rua Dona Francisca 531",Varginha,"Minas Gerais",37010-140,"(35) 7814-8027",43,"Specific Appraisals",-21.584696,-45.4754
2892,Camila,Lima,female,"Rua 31 607",Formosa,Goiás,73807-390,"(61) 9331-3144",39,"Omni Tech Solutions",-15.347732,-47.205045
2893,Kauã,Sousa,male,"Rua Madança 694","Santa Luzia","Minas Gerais",33130-166,"(31) 5385-6541",39,"Peter Reeves",-19.771697,-43.853376
2894,Rebeca,Correia,female,"Rua Marinês Nunes dos Santos 1483",Arapiraca,Alagoas,57310-280,"(82) 5963-5584",26,"Earl Abel's",-9.734804,-36.592749
2895,Rafaela,Pinto,female,"Rua L 856",Ji-Paraná,Rondônia,78962-790,"(69) 5508-4919",34,"Food Mart",-10.507701,-61.755044
2896,Livia,Araujo,female,"Rua Orlando 700",Itaguaí,"Rio de Janeiro",23810-670,"(21) 6213-2901",37,"Accord Investments",-22.890876,-43.782368
2897,Carla,Alves,female,"Rua Um 773",Itapevi,"São Paulo",06654-798,"(11) 7954-4200",41,"De Pinna",-23.602895,-46.914257
2898,Nicole,Cunha,female,"Rua da Planicie 84","Campo Grande","Mato Grosso do Sul",79041-440,"(67) 8550-3987",27,"Grey Fade",-21.030175,-54.165102
2899,Letícia,Cunha,female,"Rua Verônica R. Redondano 97",Limeira,"São Paulo",13483-315,"(19) 5949-3931",45,"Laughner's Cafeteria",-22.555797,-47.331946
2900,Thiago,Rocha,male,"Avenida C 5 162",Goiânia,Goiás,74265-050,"(62) 8199-4378",34,"Beasts of Beauty",-16.719371,-49.225605
2901,Yasmin,Goncalves,female,"Rua Serviente Dois 1493","Rio de Janeiro","Rio de Janeiro",23520-460,"(21) 5357-9462",22,"Cut Rite Lawn Care",-22.881039,-43.405601
2902,Sarah,Costa,female,"Rua Assis Brasil 806","Santa Maria","Rio Grande do Sul",97045-070,"(55) 2090-3733",35,"Hamady Bros. Supermarkets",-29.69947,-53.763858
2903,Estevan,Carvalho,male,"Conjunto 05 HI Rua 27 15","Novo Gama",Goiás,72860-327,"(61) 6517-8439",37,"Super Place",-16.053259,-48.083662
2904,Luana,Araujo,female,"Rua Cerejeiras 807","Rio de Janeiro","Rio de Janeiro",21860-150,"(21) 9275-4713",31,Erlebacher's,-22.925358,-43.367414
2905,Carolina,Ribeiro,female,"Rua Coronel Pedro Basílio 1382",Teresina,Piauí,64056-500,"(86) 5435-3500",35,"Sports Town USA",-5.294223,-42.909592
2906,Isabelle,Alves,female,"Rua Ilídia Paulina Cruz 53","Belo Horizonte","Minas Gerais",31950-030,"(31) 9971-4253",41,"Frank and Seder",-19.978883,-44.003312
2907,Beatriz,Rocha,female,"Rua Victor Drumont 1000","Rio de Janeiro","Rio de Janeiro",22750-680,"(21) 7434-3150",43,"Family Toy",-22.834003,-43.307326
2908,Leonor,Almeida,female,"Rua Engenheiro Matuchelli 1292","Rio de Janeiro","Rio de Janeiro",23530-490,"(21) 3796-6954",41,"Corinthian Designs",-22.865896,-43.32185
2909,Vitória,Rodrigues,female,"Rua Tenente Godofredo Cerqueira Leite 845","São Paulo","São Paulo",03977-000,"(11) 8938-8611",29,Gamble-Skogmo,-23.580116,-46.55306
2910,Miguel,Lima,male,"Rua Domingos Escorcio 1929","São Paulo","São Paulo",08461-370,"(11) 6885-5895",23,Finast,-23.717612,-46.63039
2911,Eduarda,Rocha,female,"Rua Conselheiro Saraiva 1641","Rio de Janeiro","Rio de Janeiro",20091-030,"(21) 6938-2695",23,"H.C. Bohack",-22.899434,-43.317781
2912,Clara,Goncalves,female,"Rua do Malhado 1904",Natal,"Rio Grande do Norte",59132-300,"(84) 6275-2567",38,"Food Mart",-5.848032,-35.149804
2913,Luana,Ribeiro,female,"Rua Farmacêutico José Pereira Lopes 1314",Teresina,Piauí,64078-790,"(86) 9277-5689",38,Sambo's,-5.31312,-42.776726
2914,Isabelle,Cavalcanti,female,"Rua Silva Ramos 1809","Volta Redonda","Rio de Janeiro",27251-420,"(24) 9567-6316",33,"Music Den",-22.580127,-43.998098
2915,Leila,Alves,female,"Avenida Hélio Lobo 1260","São Paulo","São Paulo",04359-000,"(11) 4461-8162",25,"Listen Up",-23.533839,-46.584991
2916,Gabrielly,Barbosa,female,"Rua Desportista Paulo Francisco da Silva 1898","João Pessoa",Paraíba,58075-790,"(83) 3289-8095",36,Naugles,-7.177174,-34.814159
2917,Ágatha,Sousa,female,"Rua Ministro Hermenegildo de Barros 1100","Belo Horizonte","Minas Gerais",31710-230,"(31) 9637-5383",30,"Lafayette Radio",-19.854287,-43.87038
2918,Evelyn,Barbosa,female,"Rua Peri Jacob 488",Piraquara,Paraná,83310-110,"(41) 9016-6268",26,"Universo Realtors",-25.553193,-49.086449
2919,Luiza,Pinto,female,"Rua Florinda de Matos Martini 1580",Guarapuava,Paraná,85025-180,"(42) 5671-4986",40,"Earl Abel's",-25.335188,-51.423813
2920,Gabrielle,Martins,female,"Rua Domingos de Andrade 1233","São Paulo","São Paulo",04570-080,"(11) 4969-6364",25,"Golden Dawn",-23.582844,-46.675289
2921,Nicole,Azevedo,female,"Rua Seis 391",Piracicaba,"São Paulo",13425-500,"(19) 3676-9176",35,Monsource,-22.716192,-47.690742
2922,Lavinia,Correia,female,"Rua D 1788","Campo Grande","Mato Grosso do Sul",79017-108,"(67) 3811-8855",24,"Superior Interactive",-21.059727,-54.263507
2923,Laura,Cavalcanti,female,"Rua Aida 55","São João de Meriti","Rio de Janeiro",25580-810,"(21) 4059-3562",19,"Builders Emporium",-22.794759,-43.464206
2924,Erick,Almeida,male,"Rua Fernando Luiz da Silva 238","Franco da Rocha","São Paulo",07862-070,"(11) 7294-9839",24,"Music Boutique",-23.338249,-46.820282
2925,Sophia,Melo,female,"Rua Farmacêutico Fernando Guilherme 878",Natal,"Rio Grande do Norte",59054-060,"(84) 9882-4092",32,"Sofa Express",-5.713807,-35.161372
2926,Leonor,Correia,female,"Rua Ernane Doyle 724","Belo Horizonte","Minas Gerais",30320-270,"(31) 2497-4838",28,Flexus,-19.848064,-44.0258
2927,Clara,Cavalcanti,female,"2ª Travessa Villa Valle 1945",Salvador,Bahia,40220-475,"(71) 2530-6800",23,Monsource,-12.851077,-38.569708
2928,Yasmin,Alves,female,"Passagem Bagani 1036",Ananindeua,Pará,67120-580,"(91) 7293-5888",36,McDuff,-1.258197,-48.438836
2929,Matilde,Barbosa,female,"Rua Oito 1134",Sorocaba,"São Paulo",18071-060,"(15) 6170-5119",18,"Buckeye Furniture",-23.472202,-47.353365
2930,Maria,Gomes,female,"Rua Aníbal Cajado 1562",Salvador,Bahia,40725-790,"(71) 4762-9839",43,Wetson's,-12.820204,-38.517644
2931,Rafaela,Barros,female,"Rua Júlio Batista Pereira 1543",Curitiba,Paraná,81480-165,"(41) 4386-6749",36,"Rogers Food Stores",-25.419302,-49.202363
2932,Lara,Cavalcanti,female,"Rua Pará 815",Paranaguá,Paraná,83209-649,"(41) 3727-2787",24,Monit,-25.634095,-48.61421
2933,Beatriz,Lima,female,"Travessa Trinta e Seis 1785",Gravataí,"Rio Grande do Sul",94160-100,"(51) 9771-9373",39,"Harold Powell",-29.92096,-50.894383
2934,Breno,Cardoso,male,"Rua Pedro Furtunato 1509",Fortaleza,Ceará,60810-650,"(85) 3237-9072",30,"STM Auto Parts",-3.794495,-38.61382
2935,Evelyn,Correia,female,"Rua Rodolpho Ferraz do Amaral 1860",Jaboticabal,"São Paulo",14890-230,"(16) 8963-6740",22,"Beaver Lumber",-21.268075,-48.280139
2936,Ágatha,Correia,female,"Rua FN 19 A 1254",Goiânia,Goiás,74594-025,"(62) 8546-6034",38,"Rex Audio Video Appliance",-16.611704,-49.165857
2937,Larissa,Dias,female,"Rua Luiz Ferreira 1342","João Monlevade","Minas Gerais",35930-007,"(31) 2258-9036",36,"Harold Powell",-19.780181,-43.250616
2938,Julieta,Carvalho,female,"Rua Barra do Caeté 1107","São Paulo","São Paulo",03943-040,"(11) 2136-7186",33,"Holly Tree Inn",-23.650129,-46.598067
2939,Clara,Lima,female,"Avenida Duque de Caxias 1966",Maringá,Paraná,87020-025,"(44) 2639-3837",31,"Baltimore Markets",-23.479182,-51.85951
2940,Nicole,Costa,female,"Rua João da Cruz Melão 1018","São Paulo","São Paulo",05621-020,"(11) 4199-5171",45,"Our Own Hardware",-23.614033,-46.692502
2941,Isabelle,Melo,female,"Travessa Rugero 97","São Paulo","São Paulo",01505-070,"(11) 7109-6493",37,"Auto Works",-23.607075,-46.673351
2942,Nicole,Santos,female,"Rua São Lucas 1764","Belo Horizonte","Minas Gerais",30295-450,"(31) 9270-8881",27,"Handy City",-19.894433,-43.905687
2943,José,Almeida,male,"Rua Libres 213","Novo Hamburgo","Rio Grande do Sul",93320-570,"(51) 4820-7343",44,"Multi-Systems Merchant Services",-29.708974,-51.023723
2944,Alex,Pinto,male,"Rua Alexandre Polastri 1236","Barra Mansa","Rio de Janeiro",27321-800,"(24) 8468-2763",19,"Zany Brainy",-22.474788,-44.269214
2945,Leila,Barros,female,"Rua Caeté 1758",Caraguatatuba,"São Paulo",11663-160,"(12) 6850-5704",34,Cavages,-23.713588,-45.573193
2946,Antônio,Lima,male,"Rua Sítio Novo 1743","Jaboatão dos Guararapes",Pernambuco,54355-690,"(81) 2858-4191",38,"Saturday Matinee",-8.055586,-35.003905
2947,Gabriela,Rodrigues,female,"Rua Luiz Zanette 3","Caxias do Sul","Rio Grande do Sul",95110-345,"(54) 5666-8620",43,"Life's Gold",-29.047947,-51.058042
2948,Rafaela,Cunha,female,"Rua Paulo Roberto Paes de Almeida 349","São Paulo","São Paulo",04645-080,"(11) 3563-5129",34,"Camelot Music",-23.709474,-46.622153
2949,Beatriz,Oliveira,female,"Rua Menezes Drumond 909","São Lourenço da Mata",Pernambuco,54720-780,"(81) 4471-3806",21,"Gov Mart",-8.092296,-35.010775
2950,Tomás,Dias,male,"Rua do Vigilante 1696","Ponta Grossa",Paraná,84065-200,"(42) 7219-2461",45,"Gamma Grays",-25.094935,-50.160763
2951,Sofia,Cunha,female,"Rua Ana 810","Belford Roxo","Rio de Janeiro",26187-150,"(21) 5854-3610",40,Libera,-22.611545,-43.439614
2952,Alice,Barbosa,female,"Rua Doutor Washington Andrade 1696","Campina Grande",Paraíba,58104-090,"(83) 8553-7064",39,"Great Clothes",-7.37104,-36.045295
2953,Sarah,Silva,female,"Avenida Alexandre Gallani 102",Araraquara,"São Paulo",14808-235,"(16) 9795-9024",37,Roberd's,-21.769548,-48.242411
2954,Tiago,Pereira,male,"Beco Homero Ferreira Costa 1867",Cataguases,"Minas Gerais",36772-412,"(32) 6880-8292",22,Nedick's,-21.292492,-42.551878
2955,Aline,Gomes,female,"Rua Salmos 1899","São Bernardo do Campo","São Paulo",09842-380,"(11) 3747-2154",33,"Penn Fruit",-23.71936,-46.576865
2956,Livia,Cunha,female,"Avenida Corinto 977","Campo Grande","Mato Grosso do Sul",79037-260,"(67) 5416-6753",24,"Irving's Sporting Goods",-21.018244,-54.310949
2957,Manuela,Costa,female,"Rua Joaquim Pinto de Moraes 963",Mogi-Mirim,"São Paulo",13800-542,"(16) 7662-2299",34,"Avant Garde Appraisal Group",-22.402932,-46.913979
2958,Marina,Azevedo,female,"Rua Anita Barbosa Silva 1972","Belo Horizonte","Minas Gerais",31320-240,"(31) 5691-5520",34,"KG Menswear",-19.802878,-43.980595
2959,Thiago,Cunha,male,"Rua Emília Stefani Aloísio 1595","Porto Alegre","Rio Grande do Sul",91060-490,"(51) 3286-6778",32,"Auto Palace",-30.195658,-51.142485
2960,Aline,Carvalho,female,"Servidão Violeta 44",Teresópolis,"Rio de Janeiro",25954-390,"(21) 6903-8009",36,"Just For Feet",-22.2463,-42.83983
2961,Larissa,Rodrigues,female,"Avenida Leite de Castro 1364","São João Del Rei","Minas Gerais",36301-180,"(32) 4033-5590",39,"Red Food",-21.315428,-44.204033
2962,Carla,Almeida,female,"Travessa José Francisco de Oliveira 1576",Diadema,"São Paulo",09950-310,"(11) 9914-9911",18,"The Wiz",-23.740142,-46.537919
2963,Leila,Rodrigues,female,"Praça Princesa Isabel 1177","Bragança Paulista","São Paulo",12900-361,"(11) 5275-6617",30,"Pleasures and Pasttimes",-23.039262,-46.558
2964,Carla,Cunha,female,"Rua Quinhentos e Setenta e Quatro 610","Volta Redonda","Rio de Janeiro",27215-430,"(24) 8670-6604",22,"Super Duper",-22.435363,-44.123909
2965,Kauê,Goncalves,male,"Rua dos Cajueiros 1","São Paulo","São Paulo",04321-110,"(11) 3489-4083",42,"Saturday Matinee",-23.615107,-46.686778
2966,Amanda,Santos,female,"Avenida Vila Ema 1642","São Paulo","São Paulo",03156-000,"(11) 8678-2570",26,"Body Toning",-23.705275,-46.726081
2967,Letícia,Oliveira,female,"Rua 110 401",Anápolis,Goiás,75065-600,"(62) 5632-6675",29,"Buck Alley Lumber",-16.316689,-49.069818
2968,Kauan,Castro,male,"Rua Coroados 1280",Itaquaquecetuba,"São Paulo",08576-220,"(11) 4449-5102",23,Datacorp,-23.512743,-46.247275
2969,Giovana,Fernandes,female,"Rua Rio Parnaíba 1413",Maringá,Paraná,87043-330,"(44) 9280-8639",33,"Crown Auto Parts",-23.363722,-51.995329
2970,Tiago,Oliveira,male,"Rua das Hortênsias 1337",Umuarama,Paraná,87509-490,"(44) 3797-7522",36,"Nelson Brothers",-23.653431,-53.296295
2971,Rafaela,Goncalves,female,"Rua Jayme Martins 213",Vitória,"Espírito Santo",29055-610,"(27) 2276-9522",31,"Good Times",-20.278944,-40.238703
2972,Thaís,Araujo,female,"Quadra Quadra QR 417 Conjunto B 1214","Santa Maria","Distrito Federal",72547-702,"(61) 6653-3867",25,"Susie's Casuals",-29.649051,-53.860008
2973,Bruna,Pinto,female,"Avenida Beira Rio 1583",Recife,Pernambuco,50070-510,"(81) 6428-3159",37,Konsili,-7.993119,-34.899795
2974,Carolina,Gomes,female,"Rua Quarenta e Um 21","Belo Horizonte","Minas Gerais",31845-030,"(31) 9602-2841",32,"Magik Gray",-19.884727,-44.039835
2975,Tiago,Barbosa,male,"Rua C 1621",Fortaleza,Ceará,60543-640,"(85) 7097-9585",25,"House Of Denmark",-3.709513,-38.505705
2976,Guilherme,Fernandes,male,"Vila Pessoa Araújo 1444",Fortaleza,Ceará,60741-610,"(85) 4031-3604",38,"Sunflower Market",-3.771407,-38.443258
2977,Vitória,Martins,female,"Rua Vinícius Pícolo 883","São José do Rio Preto","São Paulo",15047-218,"(17) 6756-7794",34,"Rhodes Furniture",-20.778198,-49.374777
2978,Anna,Lima,female,"Rua João Luiz Ferreira 818","Belo Horizonte","Minas Gerais",31520-470,"(31) 5774-4505",45,"Total Serve",-19.998724,-44.012527
2979,Vitoria,Goncalves,female,"Rua Sousa Aguiar 881","Rio de Janeiro","Rio de Janeiro",20720-035,"(21) 8995-3514",43,"Jay Jacobs",-22.920982,-43.311283
2980,Beatriz,Pinto,female,"Rua Raul de Leoni 177","Rio de Janeiro","Rio de Janeiro",23073-770,"(21) 3098-6463",25,"Weenie Beenie",-22.866543,-43.417536
2981,Douglas,Melo,male,"Rua Sumaré 1724",Catanduva,"São Paulo",15803-162,"(17) 5453-8319",18,"Sounds Great, Inc",-21.228092,-48.910874
2982,Mariana,Barbosa,female,"Rua Santa Rita Durão 1496",Betim,"Minas Gerais",32666-080,"(31) 6633-9409",25,LaBelle's,-19.957168,-44.205925
2983,Davi,Barros,male,"Rua Anulina Castilho de Almeida Jorge 1927",Curitiba,Paraná,81520-150,"(41) 5006-3157",23,"White Coffee Pot",-25.485714,-49.338722
2984,Luiz,Ferreira,male,"Praça São Marcos 1380",Itu,"São Paulo",13310-499,"(11) 2016-5812",43,"Cut Rite",-23.216324,-47.237048
2985,Livia,Alves,female,"Rua Extremo Sul 1101","Teixeira de Freitas",Bahia,45996-190,"(73) 3250-3826",27,"Castle Realty",-17.319806,-39.950714
2986,Rafaela,Souza,female,"Alameda Mendes 1113",Belém,Pará,66918-740,"(91) 3035-3873",32,Heslop's,-1.274372,-48.409603
2987,Sarah,Martins,female,"Rua Guiratinga 692",Cuiabá,"Mato Grosso",78055-454,"(65) 3879-8818",25,"Unity Stationers",-15.41974,-55.87336
2988,Manuela,Sousa,female,"Quadra SHCES Quadra 1311 Bloco J 1652",Cruzeiro,"Distrito Federal",70658-320,"(61) 6094-5044",20,"A+ Investments",-25.437654,-49.273004
2989,Lavinia,Barbosa,female,"Rua Moreira Ramos 414","Teixeira de Freitas",Bahia,45997-022,"(73) 3809-5917",40,Protean,-17.23964,-39.951974
2990,Ágatha,Almeida,female,"Travessa Noventa e Um 311",Bagé,"Rio Grande do Sul",96402-540,"(53) 8473-7388",35,"Richman Brothers",-31.352899,-53.896396
2991,Caio,Oliveira,male,"Rua Sagres 308","Volta Redonda","Rio de Janeiro",27281-370,"(24) 2279-6964",26,"Beasts of Beauty",-22.462808,-44.05868
2992,Ágatha,Pinto,female,"Rua Florêncio Carpi 582","São Paulo","São Paulo",05267-080,"(11) 3172-9076",27,"Dee's Drive-In",-23.561466,-46.696702
2993,Yasmin,Martins,female,"Travessa Manoel Alves 770","Cabo Frio","Rio de Janeiro",28910-150,"(22) 6581-4049",28,"Great American Music",-22.764838,-42.000894
